"","X","product.id","product.category","product.name","product.price","product.discount"
"1",1,"AB-1","Auto & Accessories","Car Media Players",70,0.05
"2",2,"AP-2","Auto & Accessories","Car Speakers",70,0.03
"3",3,"AB-3","Auto & Accessories","Car Body Covers",23,0.01
"4",4,"PZ-4","Auto & Accessories","Car & Bike Care",59,0.05
"5",5,"AP-5","Auto & Accessories","Tyre",250,0.04
"6",6,"RS-6","Auto & Accessories","Bike Tyres",24,0.04
"7",7,"XP-7","Auto & Accessories","Car Mat",54,0.05
"8",8,"RS-8","Auto & Accessories","Car Seat Covers",22,0.02
"9",9,"AP-9","Auto & Accessories","Car Pillow & Neck Rest",46,0.03
"10",10,"OL-10","Auto & Accessories","Car Media Players",70,0.02
"11",11,"PZ-11","Auto & Accessories","Car Speakers",52,0.01
"12",12,"OL-12","Auto & Accessories","Car Body Covers",29,0.04
"13",13,"RS-13","Auto & Accessories","Car & Bike Care",118,0.02
"14",14,"OL-14","Auto & Accessories","Tyre",83,0.04
"15",15,"OL-15","Auto & Accessories","Bike Tyres",18,0.01
"16",16,"CP-16","Auto & Accessories","Car Mat",27,0.01
"17",17,"OL-17","Auto & Accessories","Car Seat Covers",57,0.05
"18",18,"AB-18","Auto & Accessories","Car Pillow & Neck Rest",46,0.05
"19",19,"RS-19","Auto & Accessories","Car Media Players",70,0.05
"20",20,"XP-20","Auto & Accessories","Car Speakers",105,0.02
"21",21,"CP-21","Auto & Accessories","Car Body Covers",23,0.01
"22",22,"CP-22","Auto & Accessories","Car & Bike Care",59,0.03
"23",23,"CP-23","Auto & Accessories","Tyre",62,0.02
"24",24,"XP-24","Auto & Accessories","Bike Tyres",18,0.02
"25",25,"CP-25","Auto & Accessories","Car Mat",54,0.05
"26",26,"PZ-26","Auto & Accessories","Car Seat Covers",28,0.02
"27",27,"PQ-27","Auto & Accessories","Car Pillow & Neck Rest",231,0.03
"28",28,"PQ-28","Auto & Accessories","Car Media Players",140,0.03
"29",29,"AB-29","Auto & Accessories","Car Speakers",70,0.03
"30",30,"CP-30","Auto & Accessories","Car Body Covers",117,0.02
"31",31,"CP-31","Auto & Accessories","Car & Bike Care",39,0.03
"32",32,"RS-32","Auto & Accessories","Tyre",250,0.02
"33",33,"PQ-33","Auto & Accessories","Bike Tyres",18,0.05
"34",34,"AB-34","Auto & Accessories","Car Mat",13,0.05
"35",35,"CP-35","Auto & Accessories","Car Seat Covers",28,0.01
"36",36,"CP-36","Auto & Accessories","Car Pillow & Neck Rest",115,0.05
"37",37,"RS-37","Auto & Accessories","Car Media Players",28,0.04
"38",38,"RS-38","Auto & Accessories","Car Speakers",52,0.01
"39",39,"OL-39","Auto & Accessories","Car Body Covers",117,0.04
"40",40,"PQ-40","Auto & Accessories","Car & Bike Care",23,0.04
"41",41,"PQ-41","Auto & Accessories","Tyre",50,0.03
"42",42,"OL-42","Auto & Accessories","Bike Tyres",14,0.02
"43",43,"OL-43","Auto & Accessories","Car Mat",10,0.01
"44",44,"OL-44","Auto & Accessories","Car Seat Covers",28,0.04
"45",45,"AP-45","Auto & Accessories","Car Pillow & Neck Rest",57,0.04
"46",46,"PZ-46","Auto & Accessories","Car Media Players",70,0.05
"47",47,"CP-47","Auto & Accessories","Car Speakers",211,0.01
"48",48,"AB-48","Auto & Accessories","Car Body Covers",29,0.05
"49",49,"AB-49","Auto & Accessories","Car & Bike Care",23,0.04
"50",50,"AP-50","Auto & Accessories","Tyre",125,0.01
"51",51,"PZ-51","Auto & Accessories","Bike Tyres",36,0.01
"52",52,"XP-52","Auto & Accessories","Car Mat",10,0.03
"53",53,"PQ-53","Auto & Accessories","Car Seat Covers",28,0.05
"54",54,"XP-54","Auto & Accessories","Car Pillow & Neck Rest",115,0.04
"55",55,"OL-55","Auto & Accessories","Car Media Players",70,0.03
"56",56,"PQ-56","Auto & Accessories","Car Speakers",211,0.01
"57",57,"AP-57","Auto & Accessories","Car Body Covers",29,0.02
"58",58,"AB-58","Auto & Accessories","Car & Bike Care",39,0.05
"59",59,"CP-59","Auto & Accessories","Tyre",250,0.04
"60",60,"XP-60","Auto & Accessories","Bike Tyres",36,0.03
"61",61,"PQ-61","Auto & Accessories","Car Mat",10,0.01
"62",62,"CP-62","Auto & Accessories","Car Seat Covers",38,0.01
"63",63,"OL-63","Auto & Accessories","Car Pillow & Neck Rest",46,0.02
"64",64,"PZ-64","Auto & Accessories","Car Media Players",140,0.05
"65",65,"CP-65","Auto & Accessories","Car Speakers",105,0.05
"66",66,"XP-66","Auto & Accessories","Car Body Covers",117,0.02
"67",67,"AP-67","Auto & Accessories","Car & Bike Care",118,0.01
"68",68,"AB-68","Auto & Accessories","Tyre",250,0.01
"69",69,"AB-69","Auto & Accessories","Bike Tyres",72,0.02
"70",70,"AB-70","Auto & Accessories","Car Mat",54,0.03
"71",71,"XP-71","Auto & Accessories","Car Seat Covers",28,0.03
"72",72,"OL-72","Auto & Accessories","Car Pillow & Neck Rest",77,0.05
"73",73,"AP-73","Auto & Accessories","Car Media Players",35,0.05
"74",74,"PQ-74","Auto & Accessories","Car Speakers",42,0.01
"75",75,"RS-75","Auto & Accessories","Car Body Covers",29,0.01
"76",76,"OL-76","Auto & Accessories","Car & Bike Care",118,0.01
"77",77,"PZ-77","Auto & Accessories","Tyre",62,0.03
"78",78,"RS-78","Auto & Accessories","Bike Tyres",18,0.04
"79",79,"OL-79","Auto & Accessories","Car Mat",10,0.03
"80",80,"AB-80","Auto & Accessories","Car Seat Covers",114,0.05
"81",81,"RS-81","Auto & Accessories","Car Pillow & Neck Rest",231,0.03
"82",82,"RS-82","Auto & Accessories","Car Media Players",140,0.01
"83",83,"PZ-83","Auto & Accessories","Car Speakers",42,0.03
"84",84,"RS-84","Auto & Accessories","Car Body Covers",39,0.02
"85",85,"AP-85","Auto & Accessories","Car & Bike Care",59,0.04
"86",86,"CP-86","Auto & Accessories","Tyre",62,0.05
"87",87,"AB-87","Auto & Accessories","Bike Tyres",36,0.02
"88",88,"AP-88","Auto & Accessories","Car Mat",27,0.03
"89",89,"XP-89","Auto & Accessories","Car Seat Covers",57,0.04
"90",90,"AP-90","Auto & Accessories","Car Pillow & Neck Rest",46,0.04
"91",91,"AP-91","Auto & Accessories","Car Media Players",140,0.04
"92",92,"OL-92","Auto & Accessories","Car Speakers",70,0.01
"93",93,"XP-93","Auto & Accessories","Car Body Covers",58,0.02
"94",94,"PQ-94","Auto & Accessories","Car & Bike Care",29,0.04
"95",95,"AP-95","Auto & Accessories","Tyre",62,0.03
"96",96,"RS-96","Auto & Accessories","Bike Tyres",54,0.01
"97",97,"PQ-97","Auto & Accessories","Car Mat",10,0.02
"98",98,"AP-98","Auto & Accessories","Car Seat Covers",38,0.04
"99",99,"PQ-99","Auto & Accessories","Car Pillow & Neck Rest",115,0.02
"100",100,"AB-100","Auto & Accessories","Car Media Players",140,0.01
"101",101,"OL-101","Auto & Accessories","Car Speakers",42,0.03
"102",102,"XP-102","Auto & Accessories","Car Body Covers",39,0.03
"103",103,"AB-103","Auto & Accessories","Car & Bike Care",23,0.04
"104",104,"OL-104","Auto & Accessories","Tyre",83,0.05
"105",105,"RS-105","Auto & Accessories","Bike Tyres",18,0.03
"106",106,"OL-106","Auto & Accessories","Car Mat",10,0.01
"107",107,"PQ-107","Auto & Accessories","Car Seat Covers",57,0.02
"108",108,"XP-108","Auto & Accessories","Car Pillow & Neck Rest",77,0.02
"109",109,"PQ-109","Auto & Accessories","Car Media Players",35,0.03
"110",110,"CP-110","Auto & Accessories","Car Speakers",70,0.05
"111",111,"RS-111","Auto & Accessories","Car Body Covers",23,0.05
