ship.id,ship.date,ship.mode,ship.cost
DZ-1,2015-11-17,First Class,4.6
TA-2,2015-07-02,First Class,11.2
TA-3,2015-12-13,First Class,3.1
LP-4,2015-05-16,First Class,2.6
OP-5,2015-07-18,First Class,16
DZ-6,2015-03-05,First Class,2.4
DZ-7,2015-04-10,First Class,5.4
MZ-8,2015-04-06,First Class,2.3
AX-9,2015-02-16,First Class,11.6
OP-10,2015-05-01,First Class,5.4
OP-11,2015-11-26,First Class,12.3
LP-12,2015-09-02,First Class,1.8
PQ-13,2015-07-16,First Class,3.6
MZ-14,2015-07-27,First Class,14
OP-15,2015-10-21,First Class,1.8
LM-16,2015-03-05,First Class,2.7
JK-17,2015-05-08,First Class,2.3
TA-18,2015-06-19,First Class,9.3
JK-19,2015-05-20,First Class,4.6
PQ-20,2015-08-02,First Class,12.3
LP-21,2015-12-13,First Class,3.1
MZ-22,2015-02-16,First Class,3.1
DZ-23,2015-07-26,First Class,15
OP-24,2015-11-24,First Class,1.8
DZ-25,2015-03-02,First Class,5.4
AX-26,2015-04-10,First Class,2.5
OP-27,2015-08-04,First Class,14.4
LP-28,2015-10-05,First Class,5.6
LM-29,2015-04-18,First Class,11.2
LP-30,2015-01-27,First Class,3.5
DF-31,2015-04-09,First Class,2.7
JK-32,2015-11-29,First Class,16.5
LP-33,2015-09-03,First Class,1.8
DZ-34,2015-05-09,First Class,1.4
LP-35,2015-07-16,First Class,2.9
LP-36,2015-10-07,First Class,12.8
LM-37,2015-07-04,First Class,3.2
PQ-38,2015-08-04,First Class,12.3
DF-39,2015-06-09,First Class,3.2
TA-40,2015-08-22,First Class,1.4
TA-41,2015-07-13,First Class,13.3
AX-42,2015-03-05,First Class,1.4
AX-43,2015-10-27,First Class,1.1
PQ-44,2015-12-27,First Class,1.6
OP-45,2015-05-01,First Class,11.4
LP-46,2015-09-28,First Class,4.6
OP-47,2015-03-18,First Class,12.9
MZ-48,2015-03-31,First Class,1.4
AX-49,2015-07-29,First Class,1.4
TA-50,2015-01-30,First Class,16.5
DF-51,2015-06-08,First Class,3.6
OP-52,2015-12-03,First Class,1.1
OP-53,2015-06-23,First Class,1.1
MZ-54,2015-10-16,First Class,13.3
LM-55,2015-07-07,First Class,5.2
DF-56,2015-08-16,First Class,12.9
JK-57,2015-09-09,First Class,2.8
OP-58,2015-02-21,First Class,2
PQ-59,2015-01-12,First Class,16
AX-60,2015-09-07,First Class,3.6
JK-61,2016-01-05,First Class,1.1
AX-62,2015-04-05,First Class,3.1
DF-63,2015-09-04,First Class,12.8
LM-64,2015-08-26,First Class,5.3
DZ-65,2015-04-13,First Class,11
LM-66,2015-08-22,First Class,3.5
MZ-67,2015-02-11,First Class,3.7
OP-68,2015-11-27,First Class,16.8
DZ-69,2015-05-21,First Class,7.2
OP-70,2015-07-27,First Class,5.4
LM-71,2015-03-08,First Class,2
OP-72,2015-09-23,First Class,11.6
DZ-73,2015-10-13,First Class,3.2
DZ-74,2015-05-31,First Class,12
DZ-75,2015-12-23,First Class,3.2
LM-76,2015-12-05,First Class,3.7
LM-77,2015-05-07,First Class,14
JK-78,2015-12-22,First Class,1.8
TA-79,2015-09-23,First Class,1.1
DF-80,2015-07-03,First Class,2.8
DF-81,2015-01-27,First Class,14.4
JK-82,2015-06-25,First Class,5.9
AX-83,2015-04-21,First Class,9.9
LP-84,2015-06-04,First Class,3
OP-85,2015-05-24,First Class,2.9
JK-86,2015-07-02,First Class,12
DZ-87,2015-04-04,First Class,3.6
LM-88,2015-05-19,First Class,2.7
DF-89,2015-03-25,First Class,2.5
MZ-90,2016-01-01,First Class,10.5
DZ-91,2015-06-03,First Class,5.4
TA-92,2015-09-12,First Class,12.5
PQ-93,2015-12-05,First Class,3.2
OP-94,2015-07-06,First Class,1.9
DZ-95,2015-08-08,First Class,14
LM-96,2015-04-15,First Class,3.6
LM-97,2015-01-31,First Class,1.1
LM-98,2015-03-13,First Class,2
TA-99,2015-02-20,First Class,14.2
PQ-100,2015-08-08,First Class,5.9
TA-101,2015-04-23,First Class,9.9
LP-102,2015-02-26,First Class,2.6
DF-103,2015-07-26,First Class,1.4
LP-104,2015-04-16,First Class,13.3
TA-105,2015-03-14,First Class,1.8
AX-106,2015-09-23,First Class,1.1
PQ-107,2015-11-02,First Class,2.9
TA-108,2015-07-12,First Class,13.7
TA-109,2015-05-01,First Class,4.3
MZ-110,2015-09-06,First Class,9.9
LP-111,2015-06-14,First Class,0.8
TA-112,2015-02-12,First Class,3.4
OP-113,2015-11-14,First Class,15.8
LM-114,2015-12-01,First Class,3.6
LM-115,2015-10-20,First Class,1.4
JK-116,2015-06-14,First Class,0.6
LM-117,2015-12-26,First Class,13.3
OP-118,2015-08-17,First Class,5.4
PQ-119,2015-07-17,First Class,10.6
DZ-120,2015-06-15,First Class,3.1
LM-121,2015-11-23,First Class,2
MZ-122,2015-07-01,First Class,12
DZ-123,2015-10-19,First Class,1.8
TA-124,2015-02-03,First Class,5.4
TA-125,2015-09-07,First Class,2.7
TA-126,2015-08-01,First Class,14.9
DZ-127,2015-03-17,First Class,5.9
OP-128,2015-09-06,First Class,12.5
TA-129,2015-10-25,First Class,1.4
OP-130,2015-03-21,First Class,2.6
PQ-131,2015-11-01,First Class,15.5
AX-132,2015-08-15,First Class,1.4
PQ-133,2015-10-20,First Class,5.4
MZ-134,2015-08-22,First Class,0.6
OP-135,2015-10-26,First Class,14.2
DZ-136,2015-08-05,First Class,5.6
DF-137,2015-10-24,First Class,11.4
LM-138,2015-10-16,First Class,1.4
LM-139,2015-01-09,First Class,1.4
OP-140,2015-06-29,First Class,12
JK-141,2015-11-13,First Class,1.4
TA-142,2015-11-03,First Class,1.1
PQ-143,2015-03-26,First Class,1.1
AX-144,2015-10-08,First Class,13.9
DF-145,2015-12-26,First Class,5.3
PQ-146,2015-10-02,First Class,8.9
OP-147,2015-08-29,First Class,3.5
LM-148,2015-12-21,First Class,0.9
PQ-149,2015-02-12,First Class,16
LM-150,2015-09-06,First Class,2.4
DZ-151,2015-11-05,First Class,1.4
LP-152,2015-01-27,First Class,1.6
LP-153,2015-10-23,First Class,14.4
OP-154,2015-10-08,First Class,5.9
MZ-155,2015-07-27,First Class,9.9
JK-156,2015-04-01,First Class,3.2
TA-157,2015-07-05,First Class,3.2
DZ-158,2015-07-28,First Class,16.3
JK-159,2015-09-01,First Class,2.4
LP-160,2015-03-23,First Class,1.1
JK-161,2015-04-18,First Class,3.2
DF-162,2015-02-26,First Class,12.3
AX-163,2015-10-13,First Class,5.6
LM-164,2015-05-25,First Class,12.3
DZ-165,2015-06-19,First Class,2.8
AX-166,2015-10-03,First Class,3.7
OP-167,2015-05-18,First Class,14.5
OP-168,2015-10-20,First Class,7.2
MZ-169,2015-09-10,First Class,1.1
TA-170,2015-12-21,First Class,2.5
DF-171,2015-12-17,First Class,13.3
PQ-172,2015-01-09,First Class,4.9
PQ-173,2015-02-27,First Class,12.3
LM-174,2015-09-20,First Class,1.9
DF-175,2015-02-15,First Class,3.2
LM-176,2015-04-07,First Class,13.3
LP-177,2015-03-18,First Class,3.6
OP-178,2015-12-22,First Class,2.7
AX-179,2015-10-23,First Class,2.7
DF-180,2015-04-02,First Class,13.9
LM-181,2015-07-26,First Class,2.5
AX-182,2015-12-08,First Class,12.7
PQ-183,2015-01-23,First Class,1.4
DF-184,2015-04-07,First Class,2.4
AX-185,2015-03-14,First Class,12
OP-186,2015-11-20,First Class,2.4
LP-187,2015-05-23,First Class,1.1
OP-188,2015-08-12,First Class,2.8
JK-189,2015-09-28,First Class,12.8
TA-190,2015-09-19,First Class,5.6
DF-191,2015-05-23,First Class,10.6
LM-192,2015-02-20,First Class,3.2
OP-193,2015-07-14,First Class,3.3
PQ-194,2015-06-22,First Class,12
DZ-195,2015-01-12,First Class,2.4
TA-196,2015-07-22,First Class,5.4
PQ-197,2015-07-10,First Class,2.4
PQ-198,2015-05-21,First Class,13
LM-199,2015-05-04,First Class,5.9
PQ-200,2015-12-11,First Class,11.8
PQ-201,2015-07-13,First Class,2.6
JK-202,2015-11-26,First Class,3.3
DF-203,2015-10-17,First Class,16.3
OP-204,2015-10-13,First Class,2.4
DZ-205,2015-04-16,First Class,2.7
MZ-206,2015-04-05,First Class,2.8
AX-207,2015-05-24,First Class,14.9
LP-208,2015-05-30,First Class,3.9
DZ-209,2015-05-04,First Class,12.3
AX-210,2015-06-23,First Class,2.3
LM-211,2015-11-20,First Class,2.9
AX-212,2015-09-08,First Class,13.3
PQ-213,2016-01-06,First Class,1.8
PQ-214,2015-11-22,First Class,1.1
LM-215,2015-10-23,First Class,3.1
LM-216,2015-01-29,First Class,9.3
MZ-217,2015-11-18,First Class,4.9
PQ-218,2015-02-13,First Class,8.9
DZ-219,2015-09-30,First Class,1.9
JK-220,2015-06-10,First Class,0.9
TA-221,2015-08-24,First Class,13
TA-222,2015-05-07,First Class,2.4
MZ-223,2015-07-27,First Class,1.8
OP-224,2015-05-22,First Class,1.7
TA-225,2015-03-01,First Class,11.6
AX-226,2015-01-29,First Class,4.9
JK-227,2015-06-07,First Class,10.6
PQ-228,2015-08-16,First Class,3.3
DZ-229,2015-10-24,First Class,3.3
JK-230,2015-05-21,First Class,12
LP-231,2015-03-02,First Class,1.8
DZ-232,2015-02-14,First Class,5.4
LP-233,2015-07-22,First Class,2
LM-234,2015-09-21,First Class,11.6
OP-235,2015-06-12,First Class,5.6
DF-236,2015-02-05,First Class,12.3
TA-237,2015-09-22,First Class,3.5
TA-238,2015-09-23,First Class,2.4
DF-239,2015-07-21,First Class,16
OP-240,2015-05-03,First Class,3.6
LM-241,2015-08-25,First Class,1.1
DF-242,2015-12-11,First Class,2.9
OP-243,2015-08-08,First Class,14.2
DZ-244,2015-02-06,First Class,3.2
LP-245,2015-04-03,First Class,12.3
LM-246,2015-10-13,First Class,3.2
PQ-247,2015-01-31,First Class,3.2
LM-248,2015-09-20,First Class,13
OP-249,2015-03-26,First Class,2.4
TA-250,2015-02-09,First Class,5.4
JK-251,2015-01-10,First Class,3.1
LP-252,2015-11-30,First Class,12.8
DF-253,2015-05-10,First Class,3.2
OP-254,2015-04-25,First Class,7.8
JK-255,2015-03-15,First Class,2.3
LM-256,2015-10-17,First Class,2.4
DF-257,2015-07-07,First Class,10.8
LP-258,2015-07-04,First Class,2.4
DF-259,2015-06-18,First Class,2.7
OP-260,2015-06-16,First Class,1.7
JK-261,2015-10-29,First Class,14.2
MZ-262,2015-09-08,First Class,5.2
JK-263,2015-04-01,First Class,8.9
TA-264,2015-01-26,First Class,2.3
DZ-265,2015-02-22,First Class,3.6
OP-266,2015-08-04,First Class,14.5
LM-267,2015-09-17,First Class,7.2
DZ-268,2015-11-02,First Class,5.4
PQ-269,2015-12-22,First Class,3.2
TA-270,2016-01-05,First Class,12.3
OP-271,2015-06-08,First Class,5.4
