"","order.id","product.id","customer.id","ship.id","qty.purchased","profit","purchase.segment"
"1","AP-1","OL-1","LS-001","DZ-1",2,46,"Consumer"
"2","OL-2","PQ-2","IZ-002","TA-2",3,112,"Home Office"
"3","AP-3","CP-3","EN-003","TA-3",5,31.2,"Consumer"
"4","AP-4","CP-4","AN-004","LP-4",2,26.2,"Corporate"
"5","AB-5","PQ-5","ON-005","OP-5",1,160,"Corporate"
"6","RS-6","RS-6","TO-006","DZ-6",3,24,"Corporate"
"7","PZ-7","AB-7","OM-007","DZ-7",1,54,"Consumer"
"8","AP-8","OL-8","AN-008","MZ-8",5,22.6,"Corporate"
"9","PQ-9","PZ-9","EN-009","AX-9",5,116.4,"Consumer"
"10","PZ-10","OL-10","TT-0010","OP-10",2,54.4,"Consumer"
"11","AP-11","CP-11","ED-0011","OP-11",4,122.6,"Corporate"
"12","XP-12","AP-12","ON-0012","LP-12",4,18.3,"Home Office"
"13","CP-13","PZ-13","WN-0013","PQ-13",1,35.6,"Corporate"
"14","PQ-14","XP-14","AN-0014","MZ-14",3,140,"Corporate"
"15","OL-15","PZ-15","EY-0015","OP-15",4,18,"Consumer"
"16","AP-16","PQ-16","RN-0016","LM-16",2,27,"Consumer"
"17","AB-17","CP-17","CK-0017","JK-17",2,22.6,"Consumer"
"18","AP-18","CP-18","RE-0018","TA-18",5,93.3,"Consumer"
"19","CP-19","PQ-19","ON-0019","JK-19",2,46,"Consumer"
"20","RS-20","XP-20","ED-0020","PQ-20",2,122.6,"Corporate"
"21","XP-21","PQ-21","AM-0021","LP-21",5,31.2,"Consumer"
"22","RS-22","AP-22","KE-0022","MZ-22",2,30.9,"Corporate"
"23","AB-23","PQ-23","LL-0023","DZ-23",4,150,"Consumer"
"24","XP-24","CP-24","CO-0024","OP-24",4,18,"Corporate"
"25","PZ-25","AB-25","NA-0025","DZ-25",1,54,"Consumer"
"26","XP-26","OL-26","LL-0026","AX-26",4,24.9,"Corporate"
"27","PQ-27","PQ-27","LE-0027","OP-27",1,144.1,"Home Office"
"28","XP-28","RS-28","NG-0028","LP-28",1,55.8,"Corporate"
"29","OL-29","AB-29","ED-0029","LM-29",3,112,"Consumer"
"30","RS-30","PQ-30","AS-0030","LP-30",1,34.7,"Corporate"
"31","OL-31","AB-31","WN-0031","DF-31",3,27.4,"Consumer"
"32","XP-32","PQ-32","AN-0032","JK-32",1,165,"Consumer"
"33","PZ-33","AB-33","KI-0033","LP-33",4,18,"Consumer"
"34","OL-34","PQ-34","EE-0034","DZ-34",4,13.5,"Corporate"
